affix,stem,derived_word,ST
-ion,abrade,abrasion,4.71
-er,abstain,abstainer,6.43
-ion,abstain,abstention,4.43
-ity,accessible,accessibility,6.14
-ion,accrete,accretion,5.86
-ist,active,activist,3.29
-able,adapt,adaptable,6.29
-ion,addict,addiction,6.43
-ment,adorn,adornment,6.29
-ment,advertise,advertisement,6.29
-ion,aggravate,aggravation,6.57
-ion,aggregate,aggregation,6.57
-able,agree,agreeable,6
-less,air,airless,4.14
-ist,alarm,alarmist,5.71
-ion,allocate,allocation,6.43
-ic,altruist,altruistic,6.43
-ment,amaze,amazement,6.29
-ness,ambitious,ambitiousness,6.29
-able,amend,amendable,6.14
-ic,amoeba,amoebic,6.14
-ous,amphibian,amphibious,6.43
-ize,analogy,analogize,6.57
-ic,anarchist,anarchistic,6.86
-al,anecdote,anecdotal,6.57
-ic,angel,angelic,5.71
-ist,animism,animist,6.14
-ity,anonymous,anonymity,6.43
-ist,anthology,anthologist,6.43
-al,antipodes,antipodal,6
-ic,apoplexy,apoplectic,6.43
-ize,apostate,apostatize,6.29
-ment,appease,appeasement,6.29
-ment,appoint,appointment,5.43
-ist,archaeology,archaeologist,6.43
-al,architecture,architectural,6.29
-ist,archives,archivist,6.43
-ment,argue,argument,6.29
-ment,arraign,arraignment,6.29
-al,arrive,arrival,5.57
-al,artery,arterial,6.43
-ful,art,artful,6.29
-ness,artful,artfulness,6.43
-y,ash,ashy,5.57
-ness,assertive,assertiveness,6.29
-ist,atheism,atheist,6.43
-ic,atom,atomic,6.14
-ment,attach,attachment,6.14
-ity,audible,audibility,6
-ize,author,authorize,4.86
-ous,autonomy,autonomous,6.43
-able,avail,available,4.57
-ness,aware,awareness,6.43
-ful,awe,awful,2.57
-less,back,backless,3.57
-ist,baptism,Baptist,5.43
-ment,base,basement,2.43
-ful,basket,basketful,5.43
-able,bear,bearable,3.14
-y,beer,beery,4.86
-er,begin,beginner,5.71
-able,believe,believable,6.29
-er,besiege,besieger,6.29
-able,bid,biddable,6.14
-ous,bile,bilious,3.86
-ness,blank,blankness,6.43
-er,blaspheme,blasphemer,6.29
-ous,blasphemy,blasphemous,6.43
-er,bleach,bleacher,1
-ful,boast,boastful,6.43
-ness,bold,boldness,6.43
-able,book,bookable,5
-er,bore,borer,6
-ize,botany,botanize,6.29
-less,bound,boundless,4.29
-able,break,breakable,6.43
-less,breath,breathless,3.29
-y,bulk,bulky,6.14
-er,bust,buster,2.57
-y,cage,cagey,3.71
-ous,cancer,cancerous,6
-ist,capitalism,capitalist,6.71
-ly,capricious,capriciously,6.29
-ize,carbon,carbonize,6.29
-ic,catatonia,catatonic,5.57
-ize,catechism,catechize,6.14
-ity,catholic,catholicity,6.43
-y,cat,catty,3.57
-al,cause,causal,3.86
-less,cause,causeless,2.71
-ic,Celt,Celtic,6.29
-al,centrifuge,centrifugal,6.14
-al,cervix,cervical,5.71
-y,chance,chancy,6.29
-ity,changeable,changeability,6.57
-ful,change,changeful,6.14
-ic,chaos,chaotic,6.71
-ize,character,characterize,5.57
-ment,chastise,chastisement,6.14
-ist,chauvinism,chauvinist,6.29
-ful,cheer,cheerful,6.29
-y,chirp,chirpy,6.43
-er,choke,choker,5.57
-ity,Christian,Christianity,6.29
-ic,class,classic,2.14
-y,class,classy,6.14
-ic,climate,climatic,4.14
-y,cling,clingy,6.57
-ly,clinical,clinically,6.57
-ness,close,closeness,6.57
-y,cloud,cloudy,6.14
-ly,cohesive,cohesively,6.43
-al,coincidence,coincidental,6.43
-ist,collaboration,collaborationist,6.29
-ize,collective,collectivize,6.43
-ize,colony,colonize,6.43
-ness,comely,comeliness,5.71
-er,command,commander,6.43
-ment,commence,commencement,6.57
-ize,commercial,commercialize,6.29
-able,communicate,communicable,4.43
-able,compare,comparable,6.43
-ity,compatible,compatibility,6.57
-ion,complete,completion,6.29
-ly,compulsory,compulsorily,6.86
-ity,conductive,conductivity,6.43
-al,congress,congressional,6.29
-ity,consanguineous,consanguinity,6.43
-ness,conscious,consciousness,6.29
-ion,conscript,conscription,6.29
-ize,container,containerize,6.29
-ion,contraindicate,contraindication,5.71
-ous,contumacy,contumacious,6.43
-ion,convene,convention,5
-al,convention,conventional,5.43
-ity,convivial,conviviality,6.29
-ion,create,creation,6.29
-er,creep,creeper,6.57
-ous,cretin,cretinous,6.29
-er,cruise,cruiser,5.57
-ize,crystal,crystallize,6.43
-y,cuddle,cuddly,6.14
-ous,danger,dangerous,6.57
-er,daydream,daydreamer,6.29
-ness,deadly,deadliness,5.71
-less,death,deathless,3.43
-able,debate,debatable,6.43
-ful,deceit,deceitful,6.57
-ous,decorum,decorous,5.14
-ness,defective,defectiveness,6.43
-ness,deft,deftness,5.86
-ize,democrat,democratize,5.14
-able,demonstrate,demonstrable,6.43
-ion,demote,demotion,6.14
-ment,deport,deportment,4.57
-ment,derail,derailment,6.43
-ion,deride,derision,5
-ist,dermatology,dermatologist,6.57
-able,desire,desirable,6.43
-ous,desire,desirous,6.29
-able,despise,despicable,6.29
-ment,detach,detachment,6.43
-ion,detain,detention,6.57
-ment,dethrone,dethronement,6.43
-al,detriment,detrimental,6.29
-ment,develop,development,6.57
-ic,diagnosis,diagnostic,6.14
-ity,digestible,digestibility,6.57
-ment,disable,disablement,5.57
-able,disagree,disagreeable,6.29
-ly,disagreeable,disagreeably,6.57
-ment,disagree,disagreement,6.71
-ous,disaster,disastrous,6.29
-ful,disdain,disdainful,6.14
-ment,disentangle,disentanglement,6.14
-ment,disfranchise,disfranchisement,6
-ion,disinfect,disinfection,6.29
-ment,disparage,disparagement,6.14
-able,dispense,dispensable,5.71
-ment,displace,displacement,6.57
-ion,dispossess,dispossession,6.43
-ion,dissociate,dissociation,6.57
-ful,distaste,distasteful,6.14
-able,distinguish,distinguishable,5.57
-ful,distress,distressful,6.57
-ly,divine,divinely,6.43
-ity,divine,divinity,6.14
-ity,docile,docility,6.57
-y,dodge,dodgy,5.86
-y,dog,doggy,6.57
-ic,dogma,dogmatic,4.71
-ful,dole,doleful,6.14
-y,dope,dopey,6.29
-ful,doubt,doubtful,6.29
-y,dress,dressy,3.57
-able,drink,drinkable,6.29
-al,duke,ducal,4
-ist,duel,duellist,6.14
-ion,duplicate,duplication,6.29
-ity,durable,durability,6.29
-ful,duty,dutiful,6.14
-ity,eccentric,eccentricity,5.43
-ly,ecumenical,ecumenically,6.43
-ness,eerie,eeriness,6.43
-ness,effortless,effortlessness,6.57
-ic,egoist,egoistic,6.43
-ic,egotist,egotistic,6.14
-al,element,elemental,6
-ic,ellipse,elliptic,6.14
-ment,embarrass,embarrassment,6.29
-ic,emphasis,emphatic,5.71
-er,employ,employer,6.14
-ment,employ,employment,6.43
-ment,encourage,encouragement,6.57
-ly,endless,endlessly,6.43
-ize,energy,energize,6.57
-ment,enforce,enforcement,6.43
-ic,enigma,enigmatic,6
-able,enjoy,enjoyable,6.57
-ment,enlarge,enlargement,6.57
-ment,enlist,enlistment,6.29
-ment,enrich,enrichment,6.43
-ment,enthrone,enthronement,6.29
-ic,enthusiast,enthusiastic,6.29
-ment,entomb,entombment,6.43
-ment,envelop,envelopment,4.57
-ist,environmentalism,environmentalist,6.57
-al,episcopacy,episcopal,6.29
-ize,equal,equalize,6
-ment,estrange,estrangement,6.57
-ic,evangelist,evangelistic,6.57
-ly,exaggerated,exaggeratedly,6.43
-able,exchange,exchangeable,6.29
-ion,excommunicate,excommunication,6.57
-able,excuse,excusable,5.86
-ion,execute,execution,6.29
-ion,exhilarate,exhilaration,6.57
-able,expand,expandable,5.71
-ion,expand,expansion,6.14
-ous,expedition,expeditious,4.29
-ly,extortionate,extortionately,6.43
-ist,extortion,extortionist,6.25
-ion,extract,extraction,6.57
-ist,extremism,extremist,6.29
-ize,factor,factorize,5
-able,fashion,fashionable,6.14
-ist,fatalism,fatalist,6.14
-ful,fate,fateful,6.14
-ly,fateful,fatefully,5.86
-less,father,fatherless,3.71
-less,fault,faultless,3.43
-ous,ferocity,ferocious,6.43
-al,feud,feudal,3.29
-less,flavour,flavourless,4.86
-er,fly,flier,5
-y,flight,flighty,3.43
-er,flip,flipper,2.43
-al,flora,floral,4.43
-ist,flora,florist,5.71
-ist,folklore,folklorist,6.14
-able,foresee,foreseeable,6.43
-ize,fossil,fossilize,6.29
-al,fraction,fractional,6.57
-al,fragment,fragmental,6.57
-ness,fresh,freshness,6.57
-able,fry,friable,4.57
-less,friend,friendless,4.43
-ity,frivolous,frivolity,6.29
-al,front,frontal,6
-y,frost,frosty,6.14
-ity,frugal,frugality,6.43
-ful,fruit,fruitful,4
-less,fruit,fruitless,2.14
-y,fuzz,fuzzy,6.29
-ic,gastronomy,gastronomic,6.71
-er,gatecrash,gatecrasher,6.29
-ous,gelatin,gelatinous,6.29
-ist,genealogy,genealogist,6.5
-ion,gesticulate,gesticulation,6.29
-ly,glib,glibly,6.29
-al,globe,global,6.43
-ly,glowing,glowingly,6.29
-less,god,godless,3.14
-ist,graphology,graphologist,6.14
-less,ground,groundless,2.71
-er,growl,growler,5.57
-ist,gynaecology,gynaecologist,6.43
-less,hair,hairless,3.29
-ly,halting,haltingly,6.57
-y,hand,handy,2
-ness,hard,hardness,6.43
-ly,harmful,harmfully,6.14
-ize,harmony,harmonize,6.43
-er,harp,harper,4.43
-er,harry,harrier,4.14
-y,haste,hasty,6.29
-ful,hate,hateful,6.43
-ous,hazard,hazardous,6.43
-ful,health,healthful,6.57
-y,health,healthy,6.57
-ness,heartless,heartlessness,6.43
-less,heed,heedless,3
-ful,help,helpful,6.29
-less,help,helpless,3.43
-ic,hierarchy,hierarchic,6.29
-er,hijack,hijacker,6.29
-er,honeymoon,honeymooner,6.14
-able,honour,honourable,6.14
-er,hoot,hooter,5
-less,hope,hopeless,4.71
-ness,hopeless,hopelessness,6.29
-al,horticulture,horticultural,6.43
-ist,humanism,humanist,6.43
-ful,hurt,hurtful,6.57
-y,husk,husky,2
-ic,hyperbola,hyperbolic,5.71
-ic,hypnosis,hypnotic,6.43
-ist,hypnotism,hypnotist,6.43
-ize,hypnotism,hypnotize,6.14
-y,ice,icy,6.43
-ist,ideology,ideologist,6.57
-ous,ignominy,ignominious,6.14
-ity,illogical,illogicality,6.14
-ize,immortal,immortalize,6.14
-ment,impale,impalement,6.57
-ity,impossible,impossibility,6.14
-ment,improve,improvement,6.29
-ness,impulsive,impulsiveness,6.57
in-,accurate,inaccurate,4.29
in-,active,inactive,4.14
-ion,inaugurate,inauguration,6.29
in-,auspicious,inauspicious,3
in-,capable,incapable,2
in-,cautious,incautious,3
-ion,include,inclusion,6.43
in-,commensurate,incommensurate,4.57
in-,communicable,incommunicable,3.43
-ity,incompatible,incompatibility,6.43
in-,competent,incompetent,3.86
in-,comprehensible,incomprehensible,4.14
in-,conceivable,inconceivable,3.14
-ly,inconceivable,inconceivably,6.43
in-,consequential,inconsequential,4
in-,considerable,inconsiderable,3.29
in-,convertible,inconvertible,3.71
-ly,incredible,incredibly,6.71
in-,decisive,indecisive,3.86
in-,definable,indefinable,4.43
in-,definite,indefinite,2.29
in-,dependent,independent,2.14
in-,destructible,indestructible,4
in-,determinate,indeterminate,2.71
in-,disputable,indisputable,3.43
-ity,indissoluble,indissolubility,6.43
in-,divisible,indivisible,2.71
-ment,induce,inducement,6.43
-ion,induct,induction,6.29
-al,industry,industrial,6.43
in-,edible,inedible,2.86
in-,effectual,ineffectual,4.14
in-,efficient,inefficient,4.29
in-,estimable,inestimable,3.43
in-,excusable,inexcusable,4.57
-ly,infernal,infernally,6.57
in-,fertile,infertile,2.86
-ion,infiltrate,infiltration,6.57
in-,firm,infirm,2.57
-ion,inflect,inflection,6.29
-ly,influential,influentially,6.57
in-,formal,informal,3.29
-ion,inhibit,inhibition,6.29
in-,humane,inhumane,3.14
-ous,iniquity,iniquitous,6.57
in-,most,inmost,3.71
-ion,innovate,innovation,6.71
in-,numerable,innumerable,3.29
in-,offensive,inoffensive,3.71
in-,operable,inoperable,3.14
in-,organic,inorganic,3.71
in-,quest,inquest,3
in-,sane,insane,2.29
in-,secure,insecure,5
-ity,insecure,insecurity,6.43
in-,sensible,insensible,2.71
in-,sentient,insentient,2
in-,soluble,insoluble,3.86
in-,solvent,insolvent,3.71
-ly,instinctive,instinctively,6.14
-al,institution,institutional,6
in-,sufficient,insufficient,4
-ly,insufficient,insufficiently,6.43
-ity,insular,insularity,6.29
in-,supportable,insupportable,3.71
-al,integer,integral,1.14
-ion,integrate,integration,5.86
in-,tense,intense,3.43
-ion,interact,interaction,6.5
-ize,internal,internalize,6.14
-al,intestine,intestinal,6.29
in-,tolerable,intolerable,2.14
in-,tractable,intractable,4
-ion,invalidate,invalidation,6.57
-ity,invisible,invisibility,6.29
in-,visible,invisible,2.71
-ly,involuntary,involuntarily,6.43
in-,voluntary,involuntary,3.29
in-,vulnerable,invulnerable,2.86
-able,irrigate,irrigable,6
-ize,item,itemize,5.86
-y,jazz,jazzy,6.14
-ize,jeopardy,jeopardize,6.29
-y,jerk,jerky,3.86
-less,job,jobless,2.71
-ly,joint,jointly,5.71
-ful,joy,joyful,6.14
-ous,joy,joyous,6.29
-ness,joyous,joyousness,6.43
-y,jump,jumpy,5.57
-er,kill,killer,6
-y,knob,knobby,5.71
-ic,Koran,Koranic,6.57
-al,larynx,laryngeal,6
-ful,law,lawful,6.29
-ness,lawful,lawfulness,6
-less,law,lawless,4.57
-er,lay,layer,2.86
-less,leader,leaderless,4.29
-ly,lenient,leniently,6.14
-ous,licence,licentious,4.14
-ness,light,lightness,6.29
-y,lime,limy,4.43
-al,line,lineal,5.14
-ize,liquid,liquidize,6.43
-able,listen,listenable,6.29
-ness,lofty,loftiness,6.14
-y,louse,lousy,2.57
-less,love,loveless,3.14
-ful,lust,lustful,6.43
-er,magnify,magnifier,6.57
-al,malaria,malarial,6.14
-ment,maltreat,maltreatment,6.43
